"","Mouse","Rate","BHB.pmoles","BHB","animal.Gender","animal.Cage","Diet"
"1",4110,41.086,1040.81894306083,1040.81894306083,"F",852213,"Ketogenic Diet"
"2",4112,46.929,1213.33507473922,1213.33507473922,"F",852213,"Ketogenic Diet"
"3",4099,36.857,915.956591380553,915.956591380553,"M",852001,"Ketogenic Diet"
"4",4111,19.814,412.757475824387,412.757475824387,"F",852213,"Ketogenic Diet"
"5",4102,47.186,1220.92306820856,1220.92306820856,"F",852214,"Ketogenic Diet"
"6",4113,26.143,599.622886981752,599.622886981752,"F",852213,"Ketogenic Diet"
"7",4103,47.786,1238.63822805915,1238.63822805915,"F",852214,"Ketogenic Diet"
"8",4108,20.386,429.645928215288,429.645928215288,"F",852212,"Control Diet"
"9",4104,46.871,1211.62260928699,1211.62260928699,"F",852214,"Ketogenic Diet"
"10",4105,57.7,1531.35171932382,1531.35171932382,"F",852214,"Ketogenic Diet"
"11",4093,46.471,1199.81250271993,1199.81250271993,"M",852003,"Ketogenic Diet"
"12",4091,23.886,532.984360677095,532.984360677095,"M",852003,"Ketogenic Diet"
"13",4090,51.286,1341.97666052096,1341.97666052096,"M",852003,"Ketogenic Diet"
"14",4092,24.614,554.478754629151,554.478754629151,"M",852003,"Ketogenic Diet"
"15",4117,10.429,227.881489312291,56.9703723280729,"F",852211,"Control Diet"
"16",4109,12.714,278.743120405331,69.6857801013327,"F",852212,"Control Diet"
"17",4114,9.714,211.966361858671,52.9915904646677,"F",852211,"Control Diet"
"18",4115,18.429,405.952845436718,101.48821135918,"F",852211,"Control Diet"
"19",4116,6.571,142.006577821287,35.5016444553217,"F",852211,"Control Diet"
"20",4107,5.571,119.747658305733,29.9369145764333,"F",852212,"Control Diet"
"21",4097,6.429,138.845811250078,34.7114528125195,"M",852002,"Control Diet"
"22",4100,23.286,514.064417523761,128.51610438094,"M",852001,"Ketogenic Diet"
"23",4087,10.143,221.515438330843,55.3788595827108,"M",852004,"Control Diet"
"24",4098,57,1264.50163007113,316.125407517781,"M",852001,"Ketogenic Diet"
"25",4089,8,173.814573809012,43.4536434522531,"M",852004,"Control Diet"
"26",4106,7.286,157.921705274907,39.4804263187268,"F",852212,"Control Diet"
"27",4096,18.429,405.952845436718,101.48821135918,"M",852002,"Control Diet"
"28",4088,9.714,211.966361858671,52.9915904646677,"M",852004,"Control Diet"
"29",4095,12.429,272.399328343398,68.0998320858495,"M",852002,"Control Diet"
"30",4086,12.429,272.399328343398,68.0998320858495,"M",852004,"Control Diet"
"31",4094,NA,NA,NA,"M",852002,"Control Diet"
"32",4101,NA,NA,NA,"M",852001,"Ketogenic Diet"
