"","files","Folder","names","Genotype"
"1","quants/NEH-Sample_1415-NEH-1_quant/quant.sf","quants/NEH-Sample","1415-NEH-1","KO"
"2","quants/NEH-Sample_1415-NEH-10_quant/quant.sf","quants/NEH-Sample","1415-NEH-10","WT"
"3","quants/NEH-Sample_1415-NEH-11_quant/quant.sf","quants/NEH-Sample","1415-NEH-11","KO"
"4","quants/NEH-Sample_1415-NEH-2_quant/quant.sf","quants/NEH-Sample","1415-NEH-2","WT"
"5","quants/NEH-Sample_1415-NEH-3_quant/quant.sf","quants/NEH-Sample","1415-NEH-3","KO"
"6","quants/NEH-Sample_1415-NEH-4_quant/quant.sf","quants/NEH-Sample","1415-NEH-4","WT"
"7","quants/NEH-Sample_1415-NEH-5_quant/quant.sf","quants/NEH-Sample","1415-NEH-5","KO"
"8","quants/NEH-Sample_1415-NEH-6_quant/quant.sf","quants/NEH-Sample","1415-NEH-6","WT"
"9","quants/NEH-Sample_1415-NEH-7_quant/quant.sf","quants/NEH-Sample","1415-NEH-7","KO"
"10","quants/NEH-Sample_1415-NEH-8_quant/quant.sf","quants/NEH-Sample","1415-NEH-8","WT"
"11","quants/NEH-Sample_1415-NEH-9_quant/quant.sf","quants/NEH-Sample","1415-NEH-9","KO"
